File_ID,File_name,Topic_ID,Tag_ID,Tag_Name,Created_Year,Created_Month
2496,5907_EMRAP_2019_06_June_Written_Summary.pdf,5907,85,N/A,2019,06_June
2496,5907_EMRAP_2019_06_June_Written_Summary.pdf,5907,474,Written Summary,2019,06_June
2497,5908_EMRAP_2019_06_June_Track01_JuneIntro_EMOPN062019_mst_FINAL.mp3,5908,442,Introduction,2019,06_June
2498,5909_EMRAP_2019_06_June_Track02_AIR_PART_EMAIR010219_mst_FINAL.mp3,5909,16,Cardiology,2019,06_June
2498,5909_EMRAP_2019_06_June_Track02_AIR_PART_EMAIR010219_mst_FINAL.mp3,5909,22,Airway,2019,06_June
2498,5909_EMRAP_2019_06_June_Track02_AIR_PART_EMAIR010219_mst_FINAL.mp3,5909,46,EMS/Pre-Hospital Care,2019,06_June
2498,5909_EMRAP_2019_06_June_Track02_AIR_PART_EMAIR010219_mst_FINAL.mp3,5909,135,ACS,2019,06_June
2498,5909_EMRAP_2019_06_June_Track02_AIR_PART_EMAIR010219_mst_FINAL.mp3,5909,142,STEMI,2019,06_June
2498,5909_EMRAP_2019_06_June_Track02_AIR_PART_EMAIR010219_mst_FINAL.mp3,5909,156,Procedural Skills,2019,06_June
2499,5910_EMRAP_2019_06_June_Track03_CC_ACEP_EMCAR122018_mst_FINAL.mp3,5910,16,Cardiology,2019,06_June
2500,5911_EMRAP_2019_06_June_Track04_MLB_Wrist_EMMLB020819_mst_FINAL.mp3,5911,5,Trauma,2019,06_June
2500,5911_EMRAP_2019_06_June_Track04_MLB_Wrist_EMMLB020819_mst_FINAL.mp3,5911,15,Risk Management/Medical Errors Prevention,2019,06_June
2500,5911_EMRAP_2019_06_June_Track04_MLB_Wrist_EMMLB020819_mst_FINAL.mp3,5911,17,Medicolegal,2019,06_June
2500,5911_EMRAP_2019_06_June_Track04_MLB_Wrist_EMMLB020819_mst_FINAL.mp3,5911,144,Patient Safety,2019,06_June
2501,5912_EMRAP_2019_06_June_Track05_EGLS_EMINT012019_mst_FINAL.mp3,5912,16,Cardiology,2019,06_June
2501,5912_EMRAP_2019_06_June_Track05_EGLS_EMINT012019_mst_FINAL.mp3,5912,27,Sepsis,2019,06_June
2501,5912_EMRAP_2019_06_June_Track05_EGLS_EMINT012019_mst_FINAL.mp3,5912,34,Ultrasound,2019,06_June
2501,5912_EMRAP_2019_06_June_Track05_EGLS_EMINT012019_mst_FINAL.mp3,5912,156,Procedural Skills,2019,06_June
2502,5913_EMRAP_2019_06_June_Track06_PP_mTBI_EMPED091518_mst_FINAL.mp3,5913,1,Pediatrics,2019,06_June
2502,5913_EMRAP_2019_06_June_Track06_PP_mTBI_EMPED091518_mst_FINAL.mp3,5913,4,Neurology,2019,06_June
2502,5913_EMRAP_2019_06_June_Track06_PP_mTBI_EMPED091518_mst_FINAL.mp3,5913,130,Pediatric Trauma,2019,06_June
