File_ID,File_name,Topic_ID,Tag_ID,Tag_Name,Created_Year,Created_Month
107,5003_15_C-Spine_Clearance_in_the_Obtunded_MM_CN_sps.pdf,5003,5,Trauma,2016,01_January
107,5003_15_C-Spine_Clearance_in_the_Obtunded_MM_CN_sps.pdf,5003,999,N/A,2016,01_January
109,5004_14_LIN_THAM_Session_MM_CN_sps.pdf,5004,2,Toxicology/Pharmacology,2016,01_January
111,5005_05_PC1_Valsalva_MM_CN_sps.pdf,5005,10,Cardiovascular,2016,01_January
113,5006_13_De_Escalating_Agitation_MM_CN_sps.pdf,5006,49,Mental Health,2016,01_January
117,5009_06_PC2_CT_for_Diaphragm_Injury_MM_CN_sps.pdf,5009,5,Trauma,2016,01_January
117,5009_06_PC2_CT_for_Diaphragm_Injury_MM_CN_sps.pdf,5009,18,Diagnostic Imaging,2016,01_January
119,5010_11_Amiodarone_Pulmonary_Toxicity_MM_CN_sps.pdf,5010,2,Toxicology/Pharmacology,2016,01_January
119,5010_11_Amiodarone_Pulmonary_Toxicity_MM_CN_sps.pdf,5010,7,Pain and Palliative Care,2016,01_January
119,5010_11_Amiodarone_Pulmonary_Toxicity_MM_CN_sps.pdf,5010,10,Cardiovascular,2016,01_January
119,5010_11_Amiodarone_Pulmonary_Toxicity_MM_CN_sps.pdf,5010,15,Risk Management/Medical Errors Prevention,2016,01_January
119,5010_11_Amiodarone_Pulmonary_Toxicity_MM_CN_sps.pdf,5010,40,Professional and Medical Ethics,2016,01_January
121,5011_17_Extensor_Tendon_Injury_MM_CN_sps.pdf,5011,85,N/A,2016,01_January
123,5012_07_PC3_HEART_Gets_Put_To_The_Test_MM_CN_sps.pdf,5012,10,Cardiovascular,2016,01_January
123,5012_07_PC3_HEART_Gets_Put_To_The_Test_MM_CN_sps.pdf,5012,15,Risk Management/Medical Errors Prevention,2016,01_January
123,5012_07_PC3_HEART_Gets_Put_To_The_Test_MM_CN_sps.pdf,5012,28,Decision Instruments,2016,01_January
125,5013_12_PedsPearls_Pediatric_Rheumatology_MM_CN_sps.pdf,5013,1,Pediatrics,2016,01_January
127,5014_10_The_UTI_That_Isnt_MM_CN_sps.pdf,5014,9,Infectious Disease,2016,01_January
129,5015_16_AEM_sps.pdf,5015,18,Diagnostic Imaging,2016,01_January
131,5016_08_PC4_Blood_Clots_and_Cancer_Screening_MM_CN_sps.pdf,5016,18,Diagnostic Imaging,2016,01_January
131,5016_08_PC4_Blood_Clots_and_Cancer_Screening_MM_CN_sps.pdf,5016,26,Pulmonary Embolism,2016,01_January
131,5016_08_PC4_Blood_Clots_and_Cancer_Screening_MM_CN_sps.pdf,5016,75,Health Screaning,2016,01_January
133,5017_03_CC_Cardiogenic_Shock_MM_CN_sps.pdf,5017,2,Toxicology/Pharmacology,2016,01_January
133,5017_03_CC_Cardiogenic_Shock_MM_CN_sps.pdf,5017,6,Resuscitation,2016,01_January
133,5017_03_CC_Cardiogenic_Shock_MM_CN_sps.pdf,5017,10,Cardiovascular,2016,01_January
135,5018_09_PC5_Peds_Seizures_and_Brain_Badness_MM_CN_sps.pdf,5018,1,Pediatrics,2016,01_January
135,5018_09_PC5_Peds_Seizures_and_Brain_Badness_MM_CN_sps.pdf,5018,4,Neurology,2016,01_January
135,5018_09_PC5_Peds_Seizures_and_Brain_Badness_MM_CN_sps.pdf,5018,18,Diagnostic Imaging,2016,01_January
143,5020_01_February_Intro_MM_CN_sps.pdf,5020,85,N/A,2016,02_February
145,5021_08_LIN_Session_NEXUS_MM_CN_sps.pdf,5021,5,Trauma,2016,02_February
145,5021_08_LIN_Session_NEXUS_MM_CN_sps.pdf,5021,18,Diagnostic Imaging,2016,02_February
147,5022_01_Introduction_MM_CN_sps.pdf,5022,26,Pulmonary Embolism,2016,03_March
